Name,Image,Detail,Synopsis
集中器掉线问题判断解决方法,NULL,"&nbsp;<p class=""MsoNormal""> <b><span style=""font-family:宋体;font-size:12pt;"">集中器掉线问题判断解决方法<span></span></span></b></p><p style=""text-align:left;text-indent:24pt;"" class=""MsoNormal"" align=""left""> <span style=""line-height:150%;font-family:宋体;"">集中器掉线后，不必马上去现场排查，可以观察一两天，看集中器是否能自动上线。如果不能自动上线按以下方法逐一核实：<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>1、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">检查<span>SIM</span>卡金额。<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>2、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">检查集中器连网的参数。主站<span>IP</span>，端口号，<span>APN</span>等。在现场用红外召测集中器通信参数<span>8010</span>主站通信地址、<span>8015APN</span>及扩展参数<span>2012</span>。<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>3、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">查看集中器程序的版本，版本过低应及时升级。<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>4、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">接上集中器的调试线观看调试信息，集中器是否发出登陆帧。前置机是否有应答帧。查看前置机是否收到登陆帧。观察其它集中器是否能正常登陆此前置机。<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>5、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">观察集中器打印信息。<span></span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>a)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">能否正常注册网络</span><span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>b)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">能否检测到卡</span><span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>c)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">设置</span><span>GPRS </span><span style=""font-family:宋体;"">的</span><span>PDP </span><span style=""font-family:宋体;"">格式，检查</span><span>APN</span><span style=""font-family:宋体;"">设置是否正确</span><span> <span></span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>d)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">拨号是否成功</span><span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>e)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span>ppp</span><span style=""font-family:宋体;"">协商是否成功</span><span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>f)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">连接主站是否成功</span><span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>6、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">若主站仍不能通信，即检查服务器端口映射问题。</span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""></span><span style=""line-height:150%;font-family:宋体;""><span><span>7、&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">检查天线的位置，使用时间较长的可以更换天线，天线存在频率的偏移。<span></span></span></p><p class=""MsoNormal""> <b><span style=""line-height:150%;font-family:宋体;""></span></b></p>",NULL
科陆电子通过“国家高新技术企业”复审,,"&nbsp;<p style=""text-align:left;"" class=""MsoNormal"" align=""left""> <span style=""font-family:宋体;"">&nbsp;&nbsp;&nbsp; 深圳市科陆电子股份有限公司继</span><span style=""font-family:Verdana;"">2008</span><span style=""font-family:宋体;"">年被认定为</span><span style=""font-family:Verdana;"">“</span><span style=""font-family:宋体;"">国家级高新技术企业</span><span style=""font-family:Verdana;"">”</span><span style=""font-family:宋体;"">后，近期成功通过复审，再获殊荣。证书编号为：</span><span style=""font-family:Verdana;"">GF201144200325</span><span style=""font-family:宋体;"">，有效期三年。</span><span style=""font-family:Verdana;""></span></p><p style=""text-align:left;"" class=""MsoNormal"" align=""left""> <span style=""font-family:Verdana;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span><span style=""font-family:宋体;"">科陆电子自成立以来，一直致力于发展新的技术和解决方案，力争走在市场前沿。产品在技术创新方面勇于开拓、敢于创新，用崭新的理念设计出一系列核心技术产品，在国内外赢得了良好的声誉。此次荣获</span><span style=""font-family:Verdana;"">“</span><span style=""font-family:宋体;"">高新技术企业</span><span style=""font-family:Verdana;"">”</span><span style=""font-family:宋体;"">认定，标志着科陆电子的创新能力得到了政府的充分认可与肯定。我公司将进一步加大研发投入力度，增强自主研发能力，提升企业整体竞争力，以最卓越的产品性能赢得更多用户的肯定，树立行业排头兵的企业形象，为推动行业的发展做出贡献。</span><span style=""font-family:Verdana;""></span></p><p style=""text-align:left;"" class=""MsoNormal"" align=""left""> <span style=""font-family:宋体;"">　&nbsp; 高新技术企业认证是国家为激发企业自主研发和创新能力而设立的一种激励政策，申报企业必须是从事高科技行业，具有持续的自主研发实力，拥有核心自主知识产权。企业在申报通过后将会在税收、融资、经营等活动中享受到国家政策优惠。</span><span style=""font-family:Verdana;""></span></p><p style=""text-align:left;"" class=""MsoNormal"" align=""left""> <span style=""font-family:宋体;"">　&nbsp; 科陆电子自</span><span style=""font-family:Verdana;"">2008</span><span style=""font-family:宋体;"">年获得</span><span style=""font-family:Verdana;"">“</span><span style=""font-family:宋体;"">高新技术企业</span><span style=""font-family:Verdana;"">”</span><span style=""font-family:宋体;"">认定以来，享受国家优惠政策的同时，继续发挥科技力量的优势与潜力，以市场为导向，进一步促进高新技术成果商品化、高新技术商品产业化和高新技术产业国际化。不断提升企业竞争力，以精准的眼光及雄厚的的技术，搭配全方位优质产品与服务，为电力行业的发展做出新的贡献。</span><span style=""font-family:Verdana;""></span></p><span style=""font-family:Verdana;font-size:7.5pt;""></span>",NULL
2013年科陆集团校园招聘已经启动,,敬请关注：校园招聘行程安排<br />2013年科陆集团校园招聘不单独进行，跟随深圳市南山区人力资源部“上市公司名校行”进行，如下为校园招聘行程安排，请关注深圳市南山区人力资源部名校行安排。<br />（一）西部线（西安、兰州）：10月23日—28日<br />1、西安市的招聘时间为10月23日至25日，招聘地点设在西安电子科技大学；<br />2、兰州市的招聘时间为10月26日至28日，招聘地点设在兰州大学。<br />（二）北部线（北京、天津）：10月30日—11月4日<br />1、北京市的招聘时间为10月30日至11月1日，招聘地点设在北京科技大学；<br />2、天津市的招聘时间为11月2日至4日，招聘地点设在天津大学。<br />,NULL
科陆电子：15亿投建智能电网研发与产业基地,,"<p style=""text-indent:21pt;"" class=""MsoNormal""> <span style=""font-family:宋体;"">科陆电子</span><span>(002121</span><span style=""font-family:宋体;"">，收盘价</span><span>14.76</span><span style=""font-family:宋体;"">元</span><span>)14</span><span style=""font-family:宋体;"">日公告，公司拟在南昌市国家高新技术开发区投资总金额约为</span><span>15</span><span style=""font-family:宋体;"">亿元，建设</span><span>“</span><span style=""font-family:宋体;"">科陆电子</span><span>(</span><span style=""font-family:宋体;"">南昌</span><span>)</span><span style=""font-family:宋体;"">智能电网研发与产业基地</span><span>”</span><span style=""font-family:宋体;"">，同时公司拟投资设立南昌科陆智能电网有限公司，负责基地的开发建设与管理。</span><span></span></p><p style=""text-indent:21pt;"" class=""MsoNormal""> <span>2012</span><span style=""font-family:宋体;"">年</span><span>4</span><span style=""font-family:宋体;"">月</span><span>27</span><span style=""font-family:宋体;"">日</span><span style=""font-family:宋体;"">，“科陆”商标被国家工商行政管理总局商标局认定为中国驰名商标。</span><span></span></p>",NULL
Name,Image,Detail,Name
集中器掉线问题判断解决方法,,"&nbsp;<p class=""MsoNormal""> <b><span style=""font-family:宋体;font-size:12pt;"">集中器掉线问题判断解决方法<span></span></span></b></p><p style=""text-align:left;text-indent:24pt;"" class=""MsoNormal"" align=""left""> <span style=""line-height:150%;font-family:宋体;"">集中器掉线后，不必马上去现场排查，可以观察一两天，看集中器是否能自动上线。如果不能自动上线按以下方法逐一核实：<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>1、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">检查<span>SIM</span>卡金额。<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>2、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">检查集中器连网的参数。主站<span>IP</span>，端口号，<span>APN</span>等。在现场用红外召测集中器通信参数<span>8010</span>主站通信地址、<span>8015APN</span>及扩展参数<span>2012</span>。<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>3、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">查看集中器程序的版本，版本过低应及时升级。<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>4、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">接上集中器的调试线观看调试信息，集中器是否发出登陆帧。前置机是否有应答帧。查看前置机是否收到登陆帧。观察其它集中器是否能正常登陆此前置机。<span></span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>5、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">观察集中器打印信息。<span></span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>a)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">能否正常注册网络</span><span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>b)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">能否检测到卡</span><span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>c)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">设置</span><span>GPRS </span><span style=""font-family:宋体;"">的</span><span>PDP </span><span style=""font-family:宋体;"">格式，检查</span><span>APN</span><span style=""font-family:宋体;"">设置是否正确</span><span> <span></span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>d)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">拨号是否成功</span><span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>e)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span>ppp</span><span style=""font-family:宋体;"">协商是否成功</span><span></span></p><p style=""text-indent:-21pt;margin-left:63pt;"" class=""MsoNoSpacing""> <span><span>f)<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span></span></span><span style=""font-family:宋体;"">连接主站是否成功</span><span></span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""><span>6、<span>&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">若主站仍不能通信，即检查服务器端口映射问题。</span></p><p style=""text-align:left;text-indent:-21pt;margin-left:45pt;"" class=""MsoListParagraph"" align=""left""> <span style=""line-height:150%;font-family:宋体;""></span><span style=""line-height:150%;font-family:宋体;""><span><span>7、&nbsp; </span></span></span><span style=""line-height:150%;font-family:宋体;"">检查天线的位置，使用时间较长的可以更换天线，天线存在频率的偏移。<span></span></span></p><p class=""MsoNormal""> <b><span style=""line-height:150%;font-family:宋体;""></span></b></p>",集中器掉线问题判断解决方法
